"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YDL248W",109,84,100,112,62,47,65,60,95,43
"YDL247W-A",0,1,1,0,3,0,0,1,0,0
"YDL247W",6,6,1,3,4,2,3,4,7,9
"YDL246C",6,6,1,4,4,1,3,2,4,0
"YDL245C",1,6,9,5,3,6,2,5,5,6
"YDL244W",79,59,49,60,37,9,8,12,30,14
"YDL243C",363,289,243,352,241,192,169,190,309,171
"YDL242W",41,22,26,26,22,25,30,18,42,27
"YDL241W",143,119,115,135,96,239,343,251,555,323
"YDL240C-A",2,4,1,5,3,2,0,1,3,1
"YDL240W",670,470,429,680,347,185,493,326,432,506
"YDL239C",243,163,232,373,134,105,161,169,204,156
"YDL238C",381,335,302,351,233,305,231,279,444,179
"YDL237W",1088,882,912,1095,735,435,636,622,966,561
"YDL236W",1961,1636,1775,1972,1305,1065,1422,1096,1922,1449
"YDL235C",696,524,437,682,411,196,493,435,430,400
"YDL234C",1534,1398,1479,1704,1091,1123,1282,1007,2911,931
"YDL233W",635,615,640,724,470,290,363,300,533,296
"YDL232W",376,304,238,373,329,169,224,191,325,237
"YDL231C",1203,826,882,1162,692,467,754,579,886,789
"YDL230W",934,659,587,800,556,396,504,425,623,494
"YDL229W",3466,3023,3066,3223,1919,4069,4789,3059,5663,5339
"YDL228C",61,16,30,25,7,17,49,27,37,37
"YDL227C",51,31,39,49,40,87,175,123,105,185
"YDL226C",1556,1418,1361,1840,1075,796,1021,876,1380,1107
"YDL225W",1215,908,1080,1418,715,395,743,617,842,803
"YDL224C",1293,965,958,1293,803,538,818,667,860,736
"YDL223C",771,559,532,789,401,313,337,322,512,306
"YDL222C",139,143,84,135,75,55,55,42,85,27
"YDL221W",74,98,83,101,58,43,48,35,73,26
"YDL220C",313,292,245,318,162,171,182,141,225,148
"YDL219W",256,190,225,304,191,75,211,165,226,184
"YDL218W",97,65,82,71,64,63,41,49,75,54
"YDL217C",592,479,450,630,405,260,410,344,480,348
"YDL216C",454,396,346,459,279,191,281,210,334,271
"YDL215C",1969,1263,1205,1901,908,762,1097,1135,1525,846
"YDL214C",270,246,219,302,179,41,62,59,72,49
"YDL213C",1452,1166,1252,1760,883,534,1214,837,1161,1384
"YDL212W",2507,1913,2066,2643,1594,1049,1702,1373,2047,1697
"YDL211C",323,195,188,328,222,101,171,125,191,159
"tG(GCC)D1",1,0,0,0,0,0,0,0,0,0
"YDL210W",164,94,96,121,72,40,73,61,85,61
"YDL209C",341,248,279,351,234,104,215,154,196,264
"YDL208W",1910,1537,1675,2207,1280,1255,2461,1582,2277,2880
"YDL207W",1290,962,922,1321,806,418,814,613,865,742
"YDL206W",675,427,374,686,370,149,381,330,459,283
"YDL205C",784,654,830,987,447,497,710,560,814,747
"YDL204W",489,333,311,491,279,413,378,472,803,293
"YDL203C",496,466,401,566,315,228,416,289,425,369
"YDL202W",540,383,373,517,348,255,422,318,495,414
"YDL201W",444,352,407,427,259,254,635,423,541,635
"YDL200C",287,199,196,323,164,83,159,146,179,138
"YDL199C",455,333,348,515,300,131,197,181,284,147
"YDL198C",1207,1071,924,1128,824,866,748,885,1425,635
"YDL197C",1099,812,764,1023,631,335,461,389,560,463
"YDL196W",29,14,15,23,19,8,16,7,26,13
"YDL195W",4416,3781,3623,5251,2855,2377,2712,2039,3435,2480
"YDL194W",865,638,610,900,522,384,527,420,592,457
"YDL193W",795,582,666,763,470,278,595,482,661,458
"YDL192W",7040,6042,5764,7670,4973,3363,5228,4368,6461,5693
"YDL191W",3543,3646,2541,4180,2614,2106,3302,2342,3771,3522
"YDL190C",1335,1146,1204,1512,878,685,1072,886,1263,963
"YDL189W",1449,1158,1037,1569,999,640,1036,794,1153,1071
"YDL188C",1148,897,961,1161,714,565,748,587,869,732
"YDL187C",2,0,1,3,0,0,3,3,2,3
"YDL186W",181,150,144,147,119,82,127,116,151,132
"YDL185C-A",10,11,15,18,5,9,25,12,17,31
"YDL185W",8579,7699,8001,9243,5639,4890,6337,5237,8019,6250
"YDL184C",6294,4822,5375,6765,4404,2298,4929,3949,5773,5286
"YDL183C",235,144,148,273,125,59,114,100,122,99
"YDL182W",1231,1076,1108,1136,948,1784,2164,1488,2714,2262
"YDL181W",487,357,373,536,392,229,153,265,375,128
"YDL180W",953,713,691,924,580,385,490,419,658,535
"YDL179W",296,185,165,243,127,92,252,209,205,185
"YDL178W",1089,895,940,1107,747,523,703,565,1005,713
"YDL177C",401,285,257,362,275,130,230,146,271,233
"YDL176W",545,392,396,492,277,201,360,212,310,324
"YDL175C",532,400,360,499,309,191,348,263,358,386
"YDL174C",3121,2371,2489,2971,1949,1291,1329,1291,2084,1228
"YDL173W",1168,930,843,1064,812,435,455,429,709,518
"YDL172C",1,0,0,1,0,0,0,0,0,0
"YDL171C",3544,2476,2434,3343,1823,2089,2859,1879,3253,3019
"YDL170W",572,385,392,501,346,311,269,339,539,312
"YDL169C",553,426,378,602,376,132,126,182,241,108
"YDL168W",1053,812,902,1099,610,652,850,614,981,755
"YDL167C",238,232,223,247,180,221,612,222,391,692
"YDL166C",823,668,609,833,598,363,629,411,680,793
"YDL165W",481,494,451,600,370,230,364,271,494,331
"YDL164C",580,536,611,732,422,282,399,302,497,390
"YDL163W",0,0,0,0,0,0,0,0,0,0
"YDL162C",3,0,1,3,1,4,2,3,0,3
"YDL161W",2275,1903,1604,2204,1428,1100,1106,952,1817,1234
"YDL160C-A",236,232,202,250,195,125,183,163,272,176
"YDL160C",875,947,866,1126,576,721,628,591,1009,653
"YDL159W-A",1,0,2,0,0,0,4,0,3,6
"YDL159W",416,336,287,425,263,163,250,196,288,226
"YDL159C-B",0,0,0,0,0,0,0,0,0,0
"YDL158C",129,28,72,89,55,25,76,60,79,59
"YDL157C",876,563,673,954,527,244,416,410,511,413
"YDL156W",200,191,203,197,109,111,97,94,142,121
"YDL155W",1138,827,913,1089,701,393,605,495,700,616
"YDL154W",80,55,54,73,47,67,138,128,167,135
"YDL153C",1004,848,1113,1374,576,632,1359,853,1133,1456
"YDL152W",0,0,0,0,0,0,0,0,0,1
"YDL151C",6,0,3,4,1,2,13,3,5,7
"YDL150W",343,238,307,353,216,170,499,309,336,560
"YDL149W",585,507,446,646,384,269,322,286,466,250
"YDL148C",687,515,527,963,288,322,969,514,730,1068
"YDL147W",3243,2569,2719,3904,2032,1201,1849,1811,2429,1807
"YDL146W",614,581,452,684,375,351,550,472,773,478
"YDL145C",4511,3906,4072,5315,2705,2535,3266,2738,3971,3188
"YDL144C",1415,1115,1051,1360,1013,634,630,538,896,618
"YDL143W",3197,2881,3064,3307,2235,2213,3085,2341,3562,3125
"YDL142C",564,426,364,698,320,141,283,251,363,251
"YDL141W",765,586,562,797,452,338,513,387,552,506
"YDL140C",5343,4873,4057,6069,3464,3757,3815,2917,4614,4083
"YDL139C",328,256,289,357,259,119,214,152,228,189
"YDL138W",766,699,596,722,536,365,438,350,534,425
"YDL137W",5607,4877,4893,6103,4162,1975,2415,2352,3584,2262
"YDL136W",2129,1760,1483,2131,1575,1322,2373,1579,2588,2526
"YDL135C",939,804,839,1120,633,376,565,506,826,490
"YDL134C",2280,1957,1780,2165,1475,1165,1481,1238,2046,1492
"YDL133C-A",4044,3122,4567,5335,3457,1849,4238,3346,4639,3248
"YDL133W",974,719,695,1061,681,362,585,454,704,513
"YDL132W",2435,2096,2058,2761,1619,1051,1362,1237,1836,1322
"YDL131W",1616,1379,1412,1557,1228,896,898,795,1385,892
"YDL130W-A",778,575,586,890,561,345,334,417,717,280
"YDL130W",12243,9418,10469,12094,9925,6407,10831,8605,14203,12361
"YDL129W",128,80,58,106,55,45,103,70,115,93
"YDL128W",2217,1640,1652,1967,1212,907,1469,1066,1644,1298
"YDL127W",409,256,255,389,260,90,178,144,194,180
"YDL126C",14129,13845,14402,16194,9510,8553,8177,7286,11984,8097
"YDL125C",3745,3053,2690,3664,2781,1645,2267,1959,3398,2321
"YDL124W",2679,2438,2487,2952,2161,2449,2356,2795,5164,2020
"YDL123W",630,522,513,643,397,306,398,318,499,369
"YDL122W",1672,1312,1596,1851,949,781,1435,1018,1428,1396
"YDL121C",913,687,730,968,633,251,520,315,560,552
"YDL120W",699,537,492,796,549,377,555,438,639,514
"YDL119C",463,307,264,488,260,114,197,177,247,181
"YDL118W",21,12,18,22,7,4,6,9,9,5
"YDL117W",1030,756,709,1026,549,293,622,435,597,606
"YDL116W",787,653,669,937,489,322,618,459,644,592
"YDL115C",836,597,651,974,546,238,425,421,577,383
"YDL114W-A",8,4,5,6,4,3,4,4,6,2
"YDL114W",12,4,5,14,3,5,5,4,6,4
"YDL113C",1056,749,820,1160,533,335,565,504,715,424
"YDL112W",750,685,670,881,505,371,967,571,766,997
"YDL111C",612,551,477,669,462,310,643,420,605,613
"YDL110C",3275,2625,2179,3323,1903,1648,1397,1715,2578,1269
"YDL109C",251,199,209,241,144,130,165,112,217,148
"YDL108W",458,303,316,421,293,221,369,286,428,339
"YDL107W",371,226,263,366,200,113,212,225,290,176
"YDL106C",979,744,724,1049,612,407,535,516,778,536
"YDL105W",204,125,160,232,124,73,107,78,109,94
"YDL104C",227,155,183,226,148,94,174,128,175,128
"YDL103C",1004,837,951,1197,643,430,556,470,706,509
"YDL102W",521,390,414,598,301,268,422,276,403,380
"YDL101C",348,308,267,383,185,159,200,205,247,221
"YDL100C",4204,3922,3767,4347,2939,2108,2372,1994,3332,2509
"YDL099W",1672,1222,1376,2056,1052,566,1044,909,1262,930
"YDL098C",244,160,147,235,137,60,123,108,161,127
"YDL097C",4647,4020,3479,4647,3164,2336,2866,2721,3890,2965
"YDL096C",2,1,5,0,0,0,3,0,1,1
"YDL095W",2946,2915,2713,3498,1929,1472,1894,1541,2462,1868
"YDL094C",42,21,18,61,23,3,28,28,24,22
"YDL093W",692,535,495,708,382,256,461,304,485,456
"YDL092W",963,702,844,1104,626,415,696,588,771,610
"YDL091C",677,475,525,742,419,238,332,312,546,321
"YDL090C",633,538,487,670,415,223,345,268,337,272
"YDL089W",543,361,400,535,339,168,325,302,446,295
"YDL088C",1097,812,670,1079,676,405,788,585,829,758
"YDL087C",430,347,329,403,308,167,300,207,315,248
"YDL086W",883,737,704,831,648,451,500,410,627,515
"YDL086C-A",0,0,0,0,0,0,0,0,0,0
"YDL085C-A",479,339,517,537,315,148,262,245,296,269
"YDL085W",231,202,172,230,118,49,40,63,108,42
"YDL084W",5631,4714,4675,6316,3562,2735,4085,3254,4991,4267
"YDL083C",8454,7755,7222,9017,6576,5697,9569,6970,11640,10247
"YDL082W",6810,5025,5431,6414,4631,3420,6949,5018,7720,7034
"YDL081C",10926,8683,10548,12376,7320,5021,10245,8022,11685,10337
"YDL080C",712,513,538,704,423,375,595,409,584,511
"YDL079C",1126,699,571,1044,539,623,639,987,1094,503
"YDL078C",3225,2567,2467,3129,1981,1510,1791,1759,2660,1729
"YDL077C",589,469,506,667,406,263,430,320,507,375
"YDL076C",943,711,662,1027,612,340,571,502,656,495
"YDL075W",12010,9029,9554,11377,7946,6426,10640,8059,12610,10575
"snR63",134,71,73,98,84,56,128,97,123,115
"YDL074C",1365,963,1069,1551,783,368,1024,764,943,1018
"YDL073W",862,594,763,954,507,307,602,451,598,539
"YDL072C",4144,3224,2952,4098,2712,1559,1960,2145,3608,1721
"YDL071C",42,29,23,35,27,23,29,11,25,28
"YDL070W",2006,1156,1409,1882,974,852,1900,1673,2037,1719
"YDL069C",141,57,111,112,79,39,99,100,118,86
"YDL068W",5,0,3,1,2,1,6,1,2,3
"YDL067C",944,638,593,864,582,239,427,439,629,413
"YDL066W",2130,2162,2091,2366,1488,1327,1115,1087,1796,1068
"YDL065C",904,705,766,1021,583,307,661,501,678,575
"YDL064W",642,484,485,670,438,261,489,479,583,506
"YDL063C",111,101,102,140,63,84,302,117,170,317
"YDL062W",4,2,2,2,0,0,7,4,1,4
"YDL061C",4825,3499,3093,4228,4039,2536,5019,3737,6188,5422
"YDL060W",470,499,540,621,306,434,1076,518,735,1158
"YDL059C",325,298,248,386,229,122,144,132,196,144
"YDL058W",1290,1111,1571,1961,805,470,820,606,891,781
"YDL057W",350,306,241,335,257,136,125,142,258,123
"YDL056W",843,594,598,820,496,268,525,336,502,446
"YDL055C",14230,13847,12721,14908,10218,10461,12540,10720,17416,13776
"tK(UUU)D",2,0,1,1,0,1,1,0,2,1
"YDL054C",826,749,690,892,598,427,364,336,655,362
"YDL053C",994,625,604,921,552,402,602,519,726,562
"YDL052C",1698,1283,1214,1655,1181,955,1516,1302,1835,1584
"YDL051W",700,555,569,751,396,391,808,547,818,923
"YDL050C",47,46,44,63,37,21,44,33,48,59
"YDL049C",460,312,249,453,213,208,344,246,295,375
"YDL048C",1206,937,878,1194,756,1223,1745,1175,2518,1942
"YDL047W",1489,1098,1098,1425,911,587,1063,759,1171,988
"YDL046W",3937,2793,2471,3582,2601,1510,2072,2071,2882,1895
"YDL045W-A",577,351,340,555,373,233,419,356,559,388
"YDL045C",846,728,650,918,569,366,448,409,699,411
"YDL044C",249,184,186,258,175,88,125,139,168,150
"YDL043C",252,160,195,262,154,124,243,199,255,249
"YDL042C",387,221,202,351,168,140,272,224,277,308
"YDL041W",2,0,1,2,1,0,0,0,1,0
"YDL040C",1896,1628,1889,2365,1211,748,1408,1067,1604,1417
"YDL039C",413,398,316,347,302,1181,3018,1645,2415,3436
"YDL037C",35,39,19,23,16,149,386,119,205,409
"YDL036C",364,309,287,316,219,115,303,183,276,274
"YDL035C",1653,1285,1239,1752,930,473,751,550,926,649
"YDL034W",9,8,7,9,3,6,4,5,7,9
"YDL033C",153,136,129,178,102,104,186,149,266,178
"YDL032W",0,0,0,0,1,0,1,0,0,0
"YDL031W",756,505,577,764,353,365,1078,539,804,1146
"YDL030W",528,347,327,459,277,146,379,239,292,336
"YDL029W",4562,3895,3727,4734,3110,2187,2447,2363,3597,2432
"YDL028C",563,425,423,596,298,213,376,288,391,386
"YDL027C",902,532,576,808,474,266,478,479,622,380
"YDL026W",0,1,2,2,0,0,0,2,2,1
"YDL025C",1080,882,771,1081,665,629,596,578,1093,607
"YDL025W-A",0,0,0,0,0,0,0,0,0,0
"YDL024C",134,105,97,120,61,22,24,29,63,30
"YDL022C-A",2,2,0,0,1,0,1,0,0,0
"tA(AGC)D",0,0,0,0,0,0,0,0,0,1
"YDL023C",6,2,1,6,1,4,6,7,6,5
"YDL022W",2752,2677,2880,2701,2346,3845,4002,3732,6779,3473
"YDL021W",362,263,267,349,210,103,104,152,202,82
"YDL020C",1837,1135,1010,1798,867,620,1242,926,1239,1087
"YDL019C",2059,1909,2108,2567,1451,1362,1340,1207,2094,1230
"YDL018C",550,422,400,566,367,144,221,242,344,172
"YDL017W",451,291,268,449,222,128,222,184,254,220
"YDL016C",279,215,167,282,200,104,197,136,230,208
"YDL015C",2195,1570,1596,2293,1318,875,1733,1377,2056,1632
"YDL014W",5551,4656,5025,6090,3635,4283,7341,4428,6514,8429
"YDL013W",975,839,813,1055,617,376,624,456,673,609
"YDL012C",817,732,584,873,650,432,590,400,761,564
"YDL011C",0,1,1,1,0,0,1,0,0,0
"YDL010W",428,288,372,461,236,106,167,172,231,153
"YDL009C",296,164,234,383,153,59,97,95,131,86
"YDL008W",460,392,364,482,372,282,325,262,434,327
"tT(AGU)D",3,0,0,0,0,0,0,0,0,0
"YDL007C-A",0,0,0,0,0,1,0,0,0,0
"tS(AGA)D1",0,0,0,0,0,0,1,0,0,0
"YDL007W",5066,3888,4414,5376,3387,1941,2940,2721,3871,2674
"YDL006W",584,450,501,605,338,243,366,324,424,364
"YDL005C",1376,955,992,1497,693,509,847,659,926,788
"YDL004W",1904,1528,1305,1947,1171,629,876,917,1265,782
"YDL003W",634,505,579,726,489,212,225,226,329,279
"YDL002C",672,390,527,711,326,176,354,306,390,346
"YDL001W",406,293,317,439,245,105,248,164,247,228
"YDR001C",2762,2299,2345,3049,1756,1829,1885,2041,3097,1699
"YDR002W",5779,4646,5189,6047,3739,2539,4027,3242,4703,4176
"YDR003W",1137,803,702,1085,726,302,527,525,760,525
"YDR003W-A",331,229,244,325,199,62,137,131,214,111
"YDR004W",623,491,419,628,383,178,357,304,394,339
"YDR005C",848,518,597,806,426,326,639,633,748,506
"YDR006C",1422,1154,974,1536,920,518,931,619,1029,911
"YDR007W",536,433,404,588,371,263,350,266,409,290
"YDR008C",33,24,17,40,18,6,17,16,25,10
"YDR009W",287,196,193,262,163,88,86,95,121,90
"YDR010C",112,79,94,116,80,14,14,20,19,7
"YDR011W",1562,1239,1288,1627,943,1792,2363,1794,2614,2296
"YDR012W",4677,4735,4736,5438,3867,2939,3687,3011,5112,3829
"YDR013W",407,276,269,410,274,131,223,202,255,232
"YDR014W",174,148,149,182,110,47,136,103,176,128
"YDR014W-A",10,8,6,7,5,2,2,2,7,0
"YDR015C",0,0,0,0,0,0,0,0,0,0
"YDR016C",520,359,340,480,351,176,222,282,385,225
"YDR017C",1348,927,963,1438,745,537,1221,812,1115,1192
"YDR018C",294,197,220,324,156,59,48,67,94,54
"YDR019C",277,222,194,249,201,1093,452,489,1554,459
"YDR020C",166,135,117,130,114,79,192,123,183,209
"YDR021W",89,55,56,84,44,40,134,85,98,145
"YDR022C",343,287,266,349,269,107,132,103,215,110
"tV(UAC)D",1,1,0,1,0,0,1,0,1,1
"YDR023W",5080,3849,4476,5518,3066,2397,4428,3329,4661,4013
"YDR024W",36,8,22,15,10,8,36,25,27,29
"YDR025W",11496,9696,9131,11069,9282,7789,10518,7525,13821,12388
"YDR026C",846,713,822,934,614,329,610,449,603,629
"YDR027C",1137,880,894,1261,639,454,675,582,800,708
"YDR028C",3322,3007,3098,4004,2174,1811,1993,1720,2881,1911
"YDR029W",43,36,39,43,18,23,41,35,47,29
"YDR030C",153,108,127,180,103,57,100,79,139,93
"YDR031W",236,139,178,220,141,56,154,120,200,124
"YDR032C",5053,4437,4548,5186,3705,1994,1907,2223,3498,1951
"YDR033W",804,722,675,731,547,4238,7771,5155,8627,7642
"YDR034C",616,464,570,638,370,302,455,392,570,414
"YDR034C-D",24,15,20,20,9,18,19,21,32,14
"YDR034C-C",0,0,0,0,0,0,0,0,0,0
"tL(UAA)D",0,0,0,0,0,0,0,0,0,0
"YDR034C-A",16,10,13,14,14,7,12,7,13,11
"tQ(UUG)D1",0,1,0,1,0,0,0,0,0,0
"YDR034W-B",93,65,52,89,71,35,18,45,90,13
"YDR035W",3524,2958,3587,3641,2519,2415,2118,2220,3852,2056
"YDR036C",684,478,486,676,367,389,518,435,637,491
"YDR037W",7246,6436,6999,7525,5183,5318,7233,5377,9060,7392
"YDR038C",211,148,185,236,147,109,145,113,204,126
"YDR039C",0,0,0,0,0,0,0,0,0,0
"YDR040C",127,107,127,164,113,120,110,106,190,102
"YDR041W",1151,793,758,1132,709,448,601,607,833,517
"YDR042C",63,31,35,47,36,2,29,17,22,30
"snR47",24,13,11,24,11,5,23,17,13,24
"YDR043C",286,226,223,365,193,97,362,161,296,318
"YDR044W",1318,1135,1145,1180,902,1696,3151,1764,2933,3619
"YDR045C",463,338,362,465,337,175,348,271,322,401
"YDR046C",2500,2053,2049,2366,1650,2051,2314,1751,2998,2183
"YDR047W",1948,1592,1730,2134,1320,788,1353,999,1528,1362
"YDR048C",1,0,2,2,0,0,1,1,2,0
"YDR049W",731,419,555,760,410,196,416,277,405,419
"YDR050C",61230,53716,58827,61471,44043,37036,44071,37306,67835,45703
"YDR051C",858,767,826,1017,647,289,531,394,578,525
"YDR052C",1353,899,930,1285,700,312,698,469,730,670
"YDR053W",8,0,4,4,0,0,3,4,1,1
"YDR054C",3226,2391,2335,3378,1736,1072,1441,1348,1812,1475
"YDR055W",963,813,655,860,542,1860,1883,2305,3991,1725
"YDR056C",1662,1432,1548,1876,1205,744,1043,913,1334,1066
"YDR057W",890,687,677,941,552,309,536,426,575,479
"YDR058C",355,243,239,367,196,71,131,131,181,107
"tR(UCU)D",0,0,0,0,0,0,0,0,0,0
"tD(GUC)D",0,1,0,0,0,0,0,0,1,0
"YDR059C",803,605,594,867,542,182,213,242,425,215
"YDR060W",925,682,856,1124,537,527,1571,857,1039,1736
"YDR061W",826,623,627,889,515,357,554,464,657,516
"YDR062W",2212,2173,2167,2608,1393,1477,1754,1405,2293,1876
"YDR063W",800,625,671,823,597,289,503,496,763,473
"YDR064W",13906,12716,12664,14944,10827,9047,14512,10477,17451,15120
"YDR065W",138,120,137,140,104,53,134,104,155,119
"YDR066C",173,137,116,167,113,75,128,95,146,114
"YDR067C",490,338,426,526,363,219,330,304,582,284
"YDR068W",1176,856,1029,1408,726,413,685,600,984,708
"YDR069C",472,369,369,499,297,203,334,263,360,290
"YDR070C",126,81,70,125,72,55,65,114,171,68
"YDR071C",2265,1598,1566,2477,1380,729,1504,1285,1794,1302
"YDR072C",2183,1533,1521,2071,1285,1178,2531,1791,2434,2262
"YDR073W",1059,840,720,912,720,549,930,865,1202,888
"YDR074W",5822,5087,5970,6197,4175,4992,6519,5906,9647,5104
"YDR075W",274,198,219,269,170,102,256,137,171,272
"YDR076W",387,241,273,378,217,72,120,102,150,140
"YDR077W",5682,5487,4465,5510,3849,33621,29592,30150,51250,29010
"YDR078C",314,230,173,355,236,49,139,97,123,124
"YDR079W",332,172,222,368,158,45,152,144,218,142
"YDR079C-A",208,178,169,235,151,71,106,114,161,111
"YDR080W",422,291,385,474,247,167,301,208,326,272
"YDR081C",737,555,563,807,469,271,706,421,586,610
"YDR082W",268,195,207,232,156,102,167,133,231,180
"YDR083W",262,167,257,327,119,139,470,285,367,540
"YDR084C",1056,809,795,998,711,376,500,434,769,430
"YDR085C",892,635,639,874,470,637,684,882,1205,616
"YDR086C",2666,1789,2188,2755,1744,719,1526,1285,1887,1457
"YDR087C",564,477,505,675,385,340,768,464,618,813
"YDR088C",935,691,728,1069,547,221,433,353,451,423
"tR(ACG)D",0,0,0,1,1,0,0,1,2,1
"YDR089W",301,241,257,322,220,590,448,424,922,466
"YDR090C",758,598,487,716,478,288,460,348,530,420
"YDR091C",757,565,569,728,379,466,1283,718,989,1243
"YDR092W",1614,1388,1322,1740,1205,506,673,660,970,769
"YDR093W",2368,2123,2237,2358,1511,1401,1617,1243,1907,1713
"YDR094W",0,0,0,0,0,0,0,0,0,0
"YDR095C",9,7,4,3,3,0,4,2,2,1
"YDR096W",3005,2034,1760,2921,1471,1025,1536,1346,1951,1397
"YDR097C",590,524,527,643,377,254,384,241,406,414
"YDR098C",1630,1230,1174,1812,1059,551,953,750,1057,937
"tQ(UUG)D2",0,0,0,0,0,0,0,0,0,0
"YDR098C-B",11,7,7,14,7,8,6,14,12,8
"YDR098C-A",0,0,0,0,0,0,0,0,0,0
"YDR099W",4542,3623,3720,4985,2845,2071,2520,2450,3685,2234
"YDR100W",1013,725,674,1057,673,253,433,437,621,341
"YDR101C",340,230,227,256,148,206,707,313,445,765
"YDR102C",9,6,11,17,13,6,11,9,14,9
"YDR103W",837,591,530,755,456,296,559,401,591,553
"YDR104C",518,418,451,549,293,115,257,154,273,230
"YDR105C",970,746,661,966,594,404,567,493,712,544
"YDR106W",56,32,34,65,34,16,31,35,42,32
"tI(AAU)D",1,0,1,0,0,0,0,0,0,0
"YDR107C",611,511,463,618,346,246,327,302,435,320
"YDR108W",480,317,341,525,261,197,310,257,340,346
"YDR109C",480,337,376,458,292,191,300,226,375,273
"YDR110W",296,256,281,398,238,164,302,185,282,303
"YDR111C",1586,1160,1302,1722,835,295,537,377,599,554
"YDR112W",38,21,24,44,21,12,20,14,8,22
"YDR113C",610,484,452,655,405,200,330,296,340,320
"YDR114C",2,6,2,6,6,0,1,2,3,0
"YDR115W",504,361,286,483,304,204,313,285,427,283
"YDR116C",749,455,492,672,446,367,590,508,749,563
"YDR117C",856,651,698,1012,474,332,540,437,619,537
"YDR118W",270,206,194,296,170,70,166,162,170,164
"YDR118W-A",6,4,9,6,8,4,8,4,3,5
"YDR119W",800,776,767,947,599,493,826,561,840,850
"YDR119W-A",47,41,36,83,28,94,169,211,261,128
"YDR120C",517,406,444,546,318,309,796,414,662,854
"YDR121W",476,402,442,511,338,267,423,284,464,477
"YDR122W",2792,2261,2383,3214,1605,1254,1480,1372,2131,1345
"YDR123C",403,301,258,359,240,80,199,109,182,217
"YDR124W",275,144,173,254,125,63,134,131,186,113
"YDR125C",175,97,105,153,77,53,108,103,153,110
"YDR126W",267,222,181,264,225,129,194,137,262,173
"YDR127W",2707,2563,2622,2938,1942,2005,2109,1682,2971,2191
"YDR128W",1297,1078,1120,1503,816,461,656,538,811,684
"YDR129C",5848,4846,5085,5878,3851,3187,3458,3052,5824,2988
"YDR130C",290,248,236,304,211,127,224,177,297,211
"YDR131C",236,162,166,228,128,87,144,156,207,156
"YDR132C",473,368,344,511,285,106,234,185,249,194
"YDR133C",608,197,347,496,160,231,845,915,695,810
"YDR134C",2364,1535,996,1954,1254,1894,3514,3229,3997,3492
"YDR135C",2707,2663,2513,3187,2014,1614,1825,1486,2345,1835
"YDR136C",15,13,6,11,7,8,18,6,10,17
"YDR137W",697,580,593,770,461,263,506,388,571,459
"YDR138W",478,305,383,523,284,178,379,266,341,378
"YDR139C",644,555,459,699,493,256,387,333,554,369
"YDR140W",397,267,251,353,273,126,265,240,312,248
"YDR141C",1187,980,1017,1318,820,491,868,647,1004,754
"YDR142C",580,431,394,536,352,189,312,275,352,288
"YDR143C",966,722,623,873,565,534,929,611,910,998
"YDR144C",865,832,807,977,640,463,881,511,788,802
"YDR145W",1808,1551,1517,2015,1120,740,1118,799,1305,1020
"YDR146C",649,454,463,741,379,316,431,439,495,465
"YDR147W",536,388,391,561,325,147,281,222,314,310
"YDR148C",2003,1441,1631,1876,1153,985,1078,1135,1590,931
"YDR149C",1,0,0,0,0,1,0,0,0,0
"YDR150W",2214,1674,1698,2474,1412,844,1249,975,1490,1200
"YDR151C",1130,692,690,968,607,336,708,518,814,710
"YDR152W",1323,1063,1174,1379,883,704,1283,939,1270,1314
"YDR153C",1382,1033,1030,1435,834,540,848,648,936,818
"YDR154C",866,725,632,929,486,383,615,605,844,525
"YDR155C",8225,7905,6990,8773,6453,6158,7159,6633,10803,7617
"YDR156W",457,335,326,416,330,180,377,247,327,383
"YDR157W",47,36,24,39,34,20,56,19,44,47
"YDR158W",7121,6728,6441,7305,5159,3365,3363,3159,5552,3353
"YDR159W",823,579,633,937,480,293,639,360,613,567
"YDR160W",765,614,637,875,510,351,502,416,650,490
"YDR161W",615,510,580,716,376,334,896,551,714,924
"YDR162C",703,618,512,727,488,300,405,346,519,424
"YDR163W",485,380,397,549,316,167,307,286,372,346
"YDR164C",753,567,615,815,430,298,547,448,662,439
"YDR165W",443,332,342,491,262,258,699,420,547,697
"YDR166C",591,440,439,594,324,209,494,378,510,435
"YDR167W",915,779,773,884,620,427,592,462,725,567
"YDR168W",1352,981,1138,1560,728,506,878,757,1083,760
"YDR169C",1276,1039,897,1303,826,528,778,716,1001,751
"YDR169C-A",4,7,6,6,1,3,12,2,2,3
"YDR170C",2760,2399,2653,3160,1843,1560,1872,1506,2613,1913
"tQ(UUG)D3",0,0,0,0,0,0,0,2,1,0
"YDR170W-A",257,164,154,212,147,99,118,101,178,105
"YDR171W",4099,3925,3967,4504,3199,3308,3288,3249,6500,2803
"YDR172W",3348,2860,2924,3634,2132,1945,2922,2097,3152,3255
"YDR173C",355,248,279,364,185,137,276,189,225,238
"YDR174W",3637,2700,2982,3614,2193,1422,2267,2049,2792,2436
"YDR175C",851,582,529,761,502,360,509,487,643,538
"YDR176W",1540,1194,1258,1752,889,490,895,717,1001,814
"YDR177W",1723,1465,1340,1918,1174,777,1076,870,1277,1110
