"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YMR218C",675,450,508,718,346,284,532,373,526,457
"YMR219W",1385,1060,1134,1681,742,635,779,671,1031,755
"YMR220W",1074,844,893,1100,656,615,937,759,1010,876
"YMR221C",969,729,652,1050,542,357,636,488,717,598
"YMR222C",655,465,460,646,409,301,381,371,521,376
"YMR223W",266,181,215,276,131,153,309,159,233,228
"YMR224C",549,416,481,559,365,196,388,307,395,376
"YMR225C",526,387,338,500,378,295,402,348,567,383
"YMR226C",3230,2760,2740,3381,2200,1505,1597,1472,2233,1427
"YMR227C",629,639,780,792,475,334,453,341,507,511
"YMR228W",184,129,115,172,105,77,139,107,157,116
"YMR229C",1261,974,1127,1450,762,784,1960,1054,1547,1976
"YMR230W",5316,4949,4263,5769,4147,3108,5558,3893,6341,5786
"YMR230W-A",39,16,20,35,26,10,42,28,17,34
"YMR231W",631,579,571,705,416,274,409,346,529,433
"YMR232W",73,56,50,85,50,16,59,47,48,45
"YMR233W",292,202,275,328,189,86,229,203,266,224
"YMR234W",535,348,427,638,327,218,411,326,460,402
"YMR235C",2102,1728,2008,2508,1217,1046,1756,1277,1929,1818
"YMR236W",1805,1457,1150,1627,1379,768,905,753,1214,929
"YMR237W",1543,1378,1325,1622,969,823,1090,852,1384,968
"YMR238W",3346,2822,3038,3527,2386,1612,1491,1473,2676,1338
"tR(UCU)M1",2,2,0,2,0,0,0,1,0,1
"YMR239C",136,107,120,203,78,74,268,128,174,319
"YMR240C",410,318,381,455,299,169,238,158,263,226
"YMR241W",1485,1128,1302,1515,909,659,1243,823,1259,1179
"YMR242C",7332,5680,5606,6989,5047,3935,7690,5543,8563,7454
"YMR242W-A",5,1,5,8,2,3,7,8,6,6
"YMR243C",2847,2353,2128,2767,1774,1193,2148,1435,2271,1869
"YMR244W",196,162,129,145,111,21,25,21,25,31
"YMR244C-A",116,83,69,111,88,15,31,24,40,34
"YMR245W",211,170,197,248,173,92,133,102,153,155
"YMR246W",6472,4519,4877,6483,3481,3532,6505,4181,4967,6515
"snR86",1347,907,1079,1276,948,387,918,845,1207,818
"YMR247C",685,503,509,822,364,272,618,434,580,565
"tA(AGC)M2",0,0,0,0,0,0,0,0,0,0
"YMR247W-A",66,35,28,42,27,25,30,26,41,23
"YMR250W",1166,944,987,1079,727,1147,920,1196,2152,728
"YMR251W",238,188,187,224,163,156,141,134,255,144
"YMR251W-A",3272,3434,3793,3745,3114,3159,3259,3899,7629,2445
"YMR252C",601,478,420,560,401,168,237,218,319,276
"YMR253C",649,468,418,605,367,200,378,269,403,312
"YMR254C",59,37,32,63,30,9,22,18,25,27
"YMR255W",1002,641,766,1095,604,284,586,556,733,484
"YMR256C",623,521,395,712,483,173,255,234,388,232
"YMR257C",324,239,252,353,183,106,298,188,240,252
"YMR258C",926,744,730,998,605,531,763,652,964,700
"YMR259C",488,355,356,493,258,185,578,335,406,544
"YMR260C",3314,2630,2948,3586,2144,1742,3312,2592,3440,3655
"YMR261C",2738,2356,2348,2934,1802,1569,1804,1659,2726,1561
"YMR262W",1094,901,781,1065,621,545,626,588,891,525
"YMR263W",678,499,478,686,431,304,527,404,490,494
"YMR264W",1660,1427,1446,1728,1222,593,806,714,1151,799
"YMR265C",1220,1044,918,1225,745,349,608,495,674,568
"YMR266W",1781,1422,1535,1854,1058,1001,1848,1298,2002,1733
"YMR267W",536,395,437,589,362,276,514,434,609,470
"YMR268C",184,158,131,206,124,66,217,119,153,242
"YMR269W",286,247,234,350,163,122,344,219,314,386
"YMR270C",704,508,584,731,443,231,450,369,465,481
"YMR271C",332,267,260,357,227,95,117,131,189,110
"tQ(CUG)M",0,0,0,0,1,0,0,0,0,0
"YMR272C",1115,774,743,1047,646,1145,1872,1493,2256,1682
"YMR272W-A",0,0,0,0,0,0,0,0,0,0
"YMR272W-B",17,20,14,34,12,13,13,8,17,6
"YMR273C",1235,1142,1182,1470,761,584,697,525,772,706
"YMR274C",265,206,164,293,191,92,267,161,240,212
"YMR275C",1544,1257,1125,1712,829,574,824,663,1077,741
"YMR276W",6459,5726,5367,6332,4664,3462,3203,3030,5113,3338
"YMR277W",1128,856,1021,1126,702,489,913,640,836,927
"YMR278W",869,782,721,887,497,451,511,509,779,530
"YMR279C",155,184,181,162,123,129,175,107,169,150
"YMR280C",1242,948,878,1308,631,259,263,277,380,242
"YMR281W",924,685,579,940,546,325,508,489,667,430
"YMR282C",464,341,358,476,279,147,323,258,309,293
"YMR283C",329,217,236,344,209,118,245,185,294,246
"tY(GUA)M2",0,0,0,0,0,0,0,0,0,0
"YMR284W",518,385,430,643,292,162,322,255,399,230
"YMR285C",749,478,595,759,451,249,537,416,542,561
"YMR286W",448,320,322,453,313,212,354,384,452,321
"YMR287C",378,282,286,382,237,186,272,234,339,267
"YMR288W",451,363,309,471,296,231,440,276,415,386
"YMR289W",656,483,495,664,445,331,569,454,656,445
"YMR290C",1226,937,985,1310,698,551,1521,889,1146,1541
"YMR290W-A",3,0,1,5,2,1,1,3,0,3
"YMR291W",2024,1579,1350,2031,1011,1305,2556,1987,2743,2127
"YMR292W",527,315,346,611,299,105,353,279,368,328
"YMR293C",281,222,213,286,183,106,195,154,209,171
"YMR294W",407,292,310,417,249,99,223,175,240,197
"YMR294W-A",157,70,146,150,81,15,100,86,95,75
"YMR295C",2601,2191,2033,2281,1929,1327,1310,1151,2273,1638
"YMR296C",3673,3001,2905,3398,2386,2273,2553,1983,3476,2563
"YMR297W",10708,9488,8981,10720,7425,5311,5213,5046,8715,5077
"YMR298W",1151,928,913,1123,786,404,610,527,874,589
"YMR299C",395,271,272,437,232,169,247,224,305,242
"YMR300C",791,771,870,868,770,1629,1048,888,2307,1149
"YMR301C",1040,842,792,1188,732,414,657,471,695,734
"YMR302C",1657,1386,1328,1944,964,591,766,681,955,702
"YMR303C",575,342,265,444,232,149,221,171,236,243
"YMR304W",1668,1224,1299,1805,891,638,690,668,1047,565
"YMR304C-A",386,225,223,439,245,93,236,249,310,220
"YMR305C",4734,4453,4338,5262,3478,3249,3286,2644,5407,3414
"YMR306W",258,190,201,262,138,110,189,145,205,196
"YMR306C-A",4,4,3,1,2,1,1,3,2,1
"YMR307W",11367,9569,9032,11950,7164,7964,10759,8186,13141,11343
"YMR307C-A",0,0,0,0,0,0,0,0,0,0
"YMR308C",1887,1658,1566,2144,1105,1167,2156,1375,1950,2308
"YMR309C",1174,786,951,1153,654,594,1754,1124,1441,1601
"YMR310C",288,193,158,224,184,135,412,220,331,495
"YMR311C",3111,2494,2335,3579,1984,1305,1836,1708,2384,1449
"YMR312W",385,359,282,360,261,211,363,258,436,388
"YMR313C",988,679,731,1043,573,412,609,519,723,561
"YMR314W",3733,3288,2971,3643,2525,1797,2151,2108,3163,2163
"YMR315W",2924,2251,2258,2958,1863,1563,1594,1888,2935,1212
"YMR315W-A",35,34,24,32,27,8,8,13,17,8
"YMR316W",557,592,720,603,476,471,745,474,1315,616
"YMR316C-A",9,16,17,20,15,13,18,19,36,20
"YMR316C-B",16,13,25,16,10,5,4,5,7,3
"YMR317W",669,520,530,591,382,243,360,252,357,345
"YMR318C",4357,4006,3816,4737,2916,3022,3060,2655,3982,3260
"YMR319C",2644,2013,2288,2613,1744,1776,3841,2353,3728,3532
"YMR320W",138,95,91,125,70,35,105,75,79,122
"YMR321C",6,8,9,9,5,10,2,4,13,5
"YMR322C",1,2,0,1,4,0,0,1,1,0
"YMR323W",11,16,12,12,8,2,1,0,1,2
"YMR324C",2,0,0,0,0,0,0,0,0,0
"YMR325W",0,1,1,0,1,0,0,0,0,0
"YMR326C",1,0,0,0,0,0,0,0,0,0
"YBL113C",279,240,235,268,216,102,110,80,151,109
"YBL113W-A",0,0,0,0,0,0,0,0,0,0
"YBL112C",0,0,0,0,0,0,0,0,0,0
"YBL111C",0,0,0,0,0,0,0,0,0,0
"YBL109W",7,11,13,12,7,1,0,2,4,3
"YBL108C-A",1,1,1,0,0,0,0,0,1,1
"YBL108W",6,8,4,2,6,0,0,0,0,0
"YBL107W-A",0,0,0,0,0,0,0,0,0,0
"tL(UAA)B1",0,0,0,0,0,0,0,0,0,1
"YBL107C",563,397,416,645,405,241,423,402,523,415
"YBL106C",456,349,343,491,260,193,241,168,299,227
"YBL105C",2159,1807,1943,2422,1298,984,1375,1158,1670,1365
"YBL104C",527,454,497,586,348,227,371,237,430,395
"YBL103C",760,615,582,758,450,407,465,409,693,458
"YBL102W",1317,1007,876,1198,744,499,636,604,989,607
"YBL101C",1231,1122,1033,1409,751,1229,711,701,1507,662
"YBL100W-C",6,5,5,11,3,1,4,0,6,2
"YBL100W-B",34,29,13,31,21,13,24,22,21,34
"YBL100W-A",0,0,0,0,0,0,0,0,0,0
"tF(GAA)B",0,0,0,1,0,0,0,0,0,0
"YBL100C",67,35,26,52,25,14,46,34,42,38
"YBL099W",6065,4751,4850,5934,3539,2631,2999,2995,4582,2838
"YBL098W",305,233,217,311,200,130,175,146,219,162
"YBL097W",159,184,164,199,101,95,121,82,133,139
"YBL096C",8,8,6,19,2,1,3,4,3,5
"YBL095W",285,249,220,289,180,98,117,113,172,130
"YBL094C",3,0,1,1,1,0,1,0,2,0
"YBL093C",1105,967,904,1301,867,580,1023,677,940,1039
"YBL092W",19810,17199,15740,21099,14435,11260,17879,13251,22050,19649
"YBL091C-A",797,636,629,709,535,330,353,334,578,329
"YBL091C",4630,3831,3707,4499,3500,2290,2640,2276,3781,2738
"YBL090W",431,279,291,419,235,134,314,290,397,283
"YBL089W",516,404,371,468,338,241,359,316,439,346
"YBL088C",818,640,653,842,508,339,555,471,743,486
"YBL087C",6449,5390,5011,6548,4604,4706,6531,4832,8347,7309
"YBL086C",1551,1221,1242,1660,1028,563,867,696,1076,796
"YBL085W",2930,2356,2504,3208,1817,768,1405,1075,1658,1336
"YBL084C",909,667,552,805,502,218,370,286,420,302
"YBL083C",8,9,3,6,6,1,5,0,4,4
"YBL082C",859,764,693,835,562,436,484,317,531,482
"YBL081W",621,479,390,587,442,348,871,474,672,989
"YBL080C",478,343,345,447,323,183,309,222,340,271
"YBL079W",916,733,781,1128,527,410,780,564,772,758
"YBL078C",777,649,529,817,475,213,326,365,530,300
"YBL077W",103,51,41,80,52,23,57,51,59,67
"YBL076C",4557,4140,4435,5167,2646,3090,4281,2923,4797,4313
"YBL075C",616,454,473,671,375,227,364,270,360,391
"YBL074C",88,61,65,88,40,43,66,44,75,65
"YBL073W",2,2,1,1,0,1,1,2,1,3
"snR56",15,2,7,6,5,7,7,5,7,5
"YBL072C",5154,4188,4499,5891,3486,2844,5334,3864,6143,5237
"YBL071C-B",2,3,4,7,0,1,2,3,7,7
"YBL071W-A",114,96,95,108,103,49,110,66,106,135
"YBL071C",69,62,62,88,55,28,87,45,65,82
"YBL070C",9,4,5,8,5,1,6,3,5,8
"YBL069W",325,247,221,335,207,192,251,165,305,257
"YBL068W-A",0,0,0,0,0,0,0,0,0,0
"YBL068W",502,371,384,554,323,278,596,390,581,634
"YBL067C",1193,870,902,1229,670,413,785,603,935,731
"YBL066C",592,534,473,660,304,199,305,189,318,218
"YBL065W",5,4,0,6,1,0,5,3,6,1
"YBL064C",1766,1231,1161,1689,978,724,896,1066,1448,821
"YBL063W",402,305,327,489,226,155,310,266,308,302
"YBL062W",8,5,3,4,2,1,5,3,2,4
"YBL061C",902,710,629,963,480,487,704,550,691,661
"YBL060W",583,401,437,595,280,152,312,239,345,281
"YBL059C-A",291,228,213,296,205,108,211,181,238,172
"YBL059W",233,171,158,241,187,90,136,153,183,147
"YBL058W",3194,2663,2712,3327,2045,1640,2097,1963,2860,2133
"YBL057C",1153,956,893,1119,873,577,809,627,995,886
"YBL056W",3585,2847,2994,3630,2023,1936,2388,2232,3337,2470
"YBL055C",817,706,698,915,587,495,710,513,892,658
"YBL054W",139,95,82,141,78,124,399,148,162,427
"YBL053W",5,4,5,12,6,2,7,7,12,6
"YBL052C",561,342,354,615,274,146,377,293,342,372
"YBL051C",1512,1330,1027,1637,915,908,1277,860,1482,1221
"YBL050W",2148,1452,1589,2093,1281,651,1097,1045,1491,971
"YBL049W",214,153,161,200,129,49,88,73,116,87
"YBL048W",48,19,39,45,34,11,21,14,27,21
"YBL047C",5338,4584,4361,5939,3257,3040,2960,2657,4320,2836
"YBL046W",1287,995,1165,1294,860,552,687,525,819,667
"YBL045C",2839,2329,2166,2836,1722,1437,1352,1606,2311,1244
"YBL044W",190,154,152,171,135,10,22,12,17,9
"YBL043W",214,162,127,171,118,54,69,78,112,55
"YBL042C",807,817,757,812,557,344,423,288,531,402
